datetime,open,high,low,close,volume
2026-04-09 23:00:00,4763.858,4764.065,4756.695,4763.435,60
2026-04-10 00:00:00,4763.485,4763.485,4750.475,4762.745,60
2026-04-10 01:00:00,4762.705,4777.035,4757.665,4764.335,60
2026-04-10 02:00:00,4764.385,4765.235,4737.715,4752.925,60
2026-04-10 03:00:00,4752.815,4769.235,4752.805,4766.355,60
2026-04-10 04:00:00,4766.325,4770.525,4757.635,4758.255,60
2026-04-10 05:00:00,4758.315,4768.915,4756.928,4765.465,60
2026-04-10 06:00:00,4765.505,4765.625,4742.655,4746.165,60
2026-04-10 07:00:00,4745.725,4757.345,4741.045,4749.355,60
2026-04-10 08:00:00,4749.385,4753.155,4730.205,4740.398,60
2026-04-10 09:00:00,4740.735,4760.555,4740.545,4751.355,60
2026-04-10 10:00:00,4751.335,4760.468,4742.095,4756.895,60
2026-04-10 11:00:00,4756.915,4768.445,4753.025,4767.965,60
2026-04-10 12:00:00,4768.115,4782.315,4759.565,4771.565,60
2026-04-10 13:00:00,4771.615,4779.875,4764.615,4774.405,60
2026-04-10 14:00:00,4775.015,4794.765,4766.868,4774.418,60
2026-04-10 15:00:00,4774.418,4787.195,4755.245,4761.898,60
2026-04-10 16:00:00,4761.875,4765.785,4747.105,4763.525,60
2026-04-10 17:00:00,4763.605,4768.405,4757.715,4760.155,60
2026-04-10 18:00:00,4760.125,4772.765,4750.705,4764.895,60
2026-04-10 19:00:00,4764.935,4770.325,4758.085,4759.585,60
2026-04-10 20:00:00,4759.655,4759.785,4740.598,4746.935,60
2026-04-12 22:00:00,4634.998,4690.685,4634.998,4658.398,60
2026-04-12 23:00:00,4658.398,4671.685,4644.015,4671.155,60
2026-04-13 00:00:00,4671.175,4698.615,4664.325,4695.275,60
2026-04-13 01:00:00,4694.795,4728.035,4693.405,4721.035,60
2026-04-13 02:00:00,4721.005,4727.795,4710.925,4720.295,60
2026-04-13 03:00:00,4720.135,4723.625,4711.875,4717.695,60
2026-04-13 04:00:00,4717.675,4724.595,4708.335,4722.738,60
2026-04-13 05:00:00,4722.755,4730.605,4716.075,4729.145,60
2026-04-13 06:00:00,4729.125,4732.425,4720.635,4725.445,60
2026-04-13 07:00:00,4725.405,4739.815,4724.485,4733.435,60
2026-04-13 08:00:00,4733.465,4738.495,4720.065,4723.265,60
2026-04-13 09:00:00,4723.285,4728.575,4710.385,4714.545,60
2026-04-13 10:00:00,4714.565,4723.745,4708.135,4721.905,60
2026-04-13 11:00:00,4721.975,4728.955,4703.165,4706.875,60
2026-04-13 12:00:00,4706.745,4724.895,4703.485,4723.315,60
2026-04-13 13:00:00,4723.218,4744.315,4721.015,4730.158,60
2026-04-13 14:00:00,4730.115,4730.878,4708.285,4718.775,60
2026-04-13 15:00:00,4718.715,4719.565,4700.025,4714.225,60
2026-04-13 16:00:00,4714.195,4746.090,4708.975,4732.785,60
2026-04-13 17:00:00,4732.795,4749.725,4725.258,4729.648,60
2026-04-13 18:00:00,4729.725,4740.525,4723.295,4738.245,60
2026-04-13 19:00:00,4738.165,4747.235,4730.345,4740.968,60
2026-04-13 20:00:00,4740.938,4743.788,4737.915,4739.645,60
2026-04-13 22:00:00,4742.318,4759.375,4742.318,4757.468,60
2026-04-13 23:00:00,4757.395,4765.668,4754.175,4757.365,60
2026-04-14 00:00:00,4757.405,4775.565,4751.285,4769.495,60
2026-04-14 01:00:00,4769.535,4776.715,4761.465,4764.745,60
2026-04-14 02:00:00,4764.745,4777.075,4761.795,4774.875,60
2026-04-14 03:00:00,4774.855,4775.295,4765.298,4767.545,60
2026-04-14 04:00:00,4767.915,4776.935,4766.695,4773.825,60
2026-04-14 05:00:00,4773.845,4774.045,4757.638,4759.648,60
2026-04-14 06:00:00,4759.618,4782.855,4759.618,4782.005,60
2026-04-14 07:00:00,4781.945,4796.185,4767.575,4777.025,60
2026-04-14 08:00:00,4776.975,4789.825,4774.035,4786.685,60
