detected_at,timeframe,zone_type,zone_top,zone_bottom,zone_height,atr_at_detection,close_at_detection,trend_1h,strength_1h,trend_5m,strength_5m,zone_5m_nearby,level_1h_nearby,confluence_score,result,move_favor,move_against,move_pips
2025-05-25T15:00:00+02:00,15m,supply,3355.37,3351.14,4.23,3.81,3346.61,bearish,0.339,bearish,0.101,False,False,1,respected,5.13,5.47,5.13
2025-05-25T15:15:00+02:00,15m,supply,3351.55,3346.87,4.68,3.96,3342.88,,,bullish,0.009,True,True,2,respected,1.4,9.2,1.4
2025-05-25T15:30:00+02:00,15m,supply,3351.55,3346.87,4.68,4.12,3346.61,,,bullish,0.062,True,True,2,respected,5.13,5.48,5.13
2025-05-25T15:45:00+02:00,15m,supply,3355.37,3351.14,4.23,4.03,3347.59,,,bullish,0.068,False,False,0,respected,6.11,4.49,6.11
2025-05-25T16:00:00+02:00,15m,supply,3353.63,3348.88,4.75,4.0,3344.63,bearish,0.452,bearish,0.046,True,True,3,respected,3.15,7.46,3.15
2025-05-25T17:15:00+02:00,15m,supply,3351.55,3346.87,4.68,3.91,3342.84,,,bullish,0.266,True,True,2,respected,1.36,9.24,1.36
2025-05-25T18:30:00+02:00,15m,supply,3351.55,3346.87,4.68,3.93,3341.48,,,bullish,0.097,False,True,1,respected,0.0,6.66,0.0
2025-05-25T18:45:00+02:00,15m,supply,3351.55,3347.63,3.92,3.72,3343.08,,,bullish,0.001,False,True,1,respected,1.6,5.06,1.6
2025-05-26T15:15:00+02:00,15m,supply,3356.8,3343.78,13.02,11.12,3330.94,,,bullish,0.019,False,True,1,respected,7.16,25.86,7.16
2025-05-26T15:30:00+02:00,15m,supply,3356.8,3343.78,13.02,11.84,3343.11,,,bullish,0.007,False,True,1,respected,19.33,13.69,19.33
2025-05-26T16:15:00+02:00,15m,supply,3356.8,3344.39,12.41,10.49,3334.13,,,bullish,0.728,False,True,1,respected,10.35,22.67,10.35
2025-05-26T16:30:00+02:00,15m,supply,3356.8,3344.39,12.41,10.57,3329.84,,,bearish,0.017,False,True,1,respected,6.06,26.96,6.06
2025-05-26T17:00:00+02:00,15m,supply,3356.8,3343.78,13.02,11.96,3323.78,bearish,0.0,bearish,0.145,False,True,2,respected,0.0,33.02,0.0
2025-05-26T17:15:00+02:00,15m,supply,3356.8,3343.78,13.02,11.05,3323.78,,,bullish,0.433,False,True,1,respected,0.0,33.02,0.0
2025-05-26T17:30:00+02:00,15m,supply,3356.8,3343.78,13.02,11.43,3339.76,,,bullish,0.039,False,True,1,respected,5.47,17.04,5.47
2025-05-27T13:00:00+02:00,15m,supply,3337.15,3321.43,15.72,15.71,3302.57,bullish,0.544,bearish,0.319,False,True,1,respected,17.13,34.98,17.13
2025-05-27T13:15:00+02:00,15m,supply,3337.15,3321.43,15.72,15.86,3304.8,,,bearish,0.6,False,True,1,respected,19.36,32.74,19.36
2025-05-27T13:30:00+02:00,15m,supply,3330.54,3314.16,16.38,16.69,3285.44,,,bearish,0.485,False,True,1,broke,0.0,52.11,-52.11
2025-05-27T13:45:00+02:00,15m,supply,3330.54,3314.16,16.38,17.56,3309.6,,,bullish,0.244,False,True,1,broke,12.41,27.95,-27.95
2025-05-27T15:00:00+02:00,15m,supply,3337.15,3321.43,15.72,18.88,3299.95,bearish,1.248,bullish,0.093,False,True,2,respected,2.75,37.6,2.75
